order_id,date,customer_id,product_id,revenue,units,source
3081,2023-02-27 08:22:23,460,132,73.78,5,app
3489,2023-02-01 15:42:17,2424,139,36.33,1,web
4363,2023-01-26 11:19:48,722,2,85.17,2,app
692,2023-03-12 05:54:56,2112,14,17.14,2,app
2901,2023-02-26 10:56:52,1144,180,5.91,4,web
1543,2023-01-24 05:04:39,1828,16,28.62,1,app
4706,2023-02-09 23:52:59,609,155,62.5,3,app
2753,2023-02-05 17:59:53,448,43,29.49,3,app
1762,2023-03-05 03:12:16,336,82,21.26,1,app
2024,2023-01-26 04:25:47,1510,18,32.23,2,app
2322,2023-01-04 04:48:53,709,113,80.26,3,web
4230,2023-01-12 20:59:51,1673,98,6.85,3,web
1900,2023-01-25 01:07:27,248,180,5.91,4,app
1511,2023-01-25 14:09:47,2351,65,90.16,2,app
2856,2023-01-04 10:01:55,75,51,83.15,3,web
4814,2023-03-25 10:47:37,1607,220,36.85,4,app
38,2023-01-26 08:01:39,140,189,60.6,4,app
4626,2023-02-17 05:07:41,978,56,27.6,3,web
3189,2023-02-13 22:05:20,1069,68,93.04,2,web
3808,2023-01-10 07:56:43,2422,221,73.68,2,web
268,2023-01-06 04:09:15,929,186,50.9,1,web
3425,2023-03-12 04:58:07,399,175,86.04,1,web
2467,2023-02-13 18:40:23,207,96,39.41,1,web
2651,2023-02-06 16:39:13,193,8,39.81,3,web
2988,2023-03-18 18:35:15,1296,93,12.01,2,web
1533,2023-01-29 00:45:57,495,217,15.17,3,app
4663,2023-03-18 07:27:34,1905,137,12.98,5,web
1820,2023-02-02 01:44:52,106,5,22.83,1,app
2472,2023-03-16 00:11:11,1915,19,61.39,4,app
4944,2023-01-04 17:59:17,765,19,61.39,4,web
3131,2023-03-22 02:21:20,1204,101,54.27,1,web
66,2023-02-17 11:03:03,568,152,5.99,1,web
58,2023-03-11 22:17:35,2455,96,39.41,5,app
3680,2023-03-29 22:19:30,545,141,63.16,2,web
145,2023-01-29 23:44:55,2129,58,27.34,5,web
2367,2023-01-26 14:23:50,946,26,98.94,3,app
621,2023-01-26 01:36:24,766,27,24.13,3,web
4369,2023-03-11 23:27:25,1538,203,39.21,4,web
3974,2023-02-09 18:30:43,611,207,19.23,2,app
3480,2023-02-15 21:37:00,515,99,62.64,1,app
3806,2023-02-04 23:36:15,1258,219,44.09,4,app
2946,2023-01-25 21:47:37,2009,19,61.39,2,app
4061,2023-02-07 07:43:59,2409,193,13.02,5,app
3083,2023-02-21 19:30:40,714,34,78.5,1,app
4546,2023-01-24 18:23:59,2125,179,65.13,2,web
4525,2023-01-22 18:12:41,676,38,29.47,4,web
3056,2023-01-04 12:03:07,2075,183,72.14,1,web
2410,2023-03-08 03:47:25,1727,205,74.74,3,web
1132,2023-03-26 22:10:48,1812,7,23.09,5,app
3967,2023-02-03 10:57:07,2287,222,38.57,4,app
1017,2023-03-14 00:29:38,1952,138,56.49,4,app
733,2023-01-18 22:21:23,2147,110,80.01,5,web
1899,2023-02-14 20:10:46,2151,93,12.01,4,web
2010,2023-02-22 06:17:57,1330,36,25.01,3,app
172,2023-01-09 17:19:04,1007,204,13.67,5,app
4915,2023-01-27 15:07:56,197,44,63.19,1,app
149,2023-01-11 21:09:15,579,167,22.18,2,web
2000,2023-02-11 09:38:03,547,153,31.47,4,web
994,2023-01-19 18:16:44,2138,99,62.64,4,web
3866,2023-02-06 07:26:34,391,135,72.48,4,app
4368,2023-01-21 03:08:09,1484,75,83.48,1,app
1935,2023-01-23 20:57:43,509,151,91.75,4,web
4065,2023-02-28 09:44:36,1503,45,47.2,2,app
2488,2023-02-24 02:10:58,1813,195,13.36,3,web
4471,2023-02-03 19:03:55,1157,181,97.85,5,web
3007,2023-02-24 09:09:56,800,174,42.34,2,app
259,2023-02-22 00:34:19,1396,43,29.49,5,web
4640,2023-01-31 03:02:08,881,167,22.18,5,app
4100,2023-03-14 20:01:34,983,111,66.5,2,web
399,2023-03-19 23:23:00,1254,107,29.51,2,web
659,2023-03-18 10:24:58,530,235,30.67,2,web
1238,2023-01-18 15:06:01,2163,161,34.62,1,web
4762,2023-01-06 04:36:58,2273,1,74.6,4,web
2714,2023-02-28 22:53:43,1745,7,23.09,4,web
794,2023-01-09 00:06:12,873,203,39.21,5,web
3772,2023-01-12 18:06:21,2095,208,10.48,1,app
2342,2023-01-11 21:26:45,163,76,19.21,3,web
4124,2023-01-29 19:33:25,1421,41,66.1,5,web
2309,2023-01-18 05:04:55,114,185,56.84,2,app
762,2023-03-12 01:04:25,952,98,6.85,3,app
1228,2023-02-16 09:51:49,1810,148,46.46,2,web
2294,2023-02-28 15:54:46,247,81,20.71,1,app
3272,2023-01-31 05:58:47,974,63,22.73,1,app
3898,2023-01-19 07:41:54,862,128,32.27,2,app
4302,2023-03-06 18:51:02,1892,82,21.26,3,web
3602,2023-03-28 10:42:43,1150,183,72.14,3,web
1305,2023-02-15 17:04:00,584,34,78.5,1,app
2461,2023-03-16 10:26:17,55,87,67.86,4,web
4630,2023-02-17 23:56:17,639,167,22.18,3,app
2824,2023-03-04 17:36:37,1411,102,62.78,3,app
109,2023-03-27 22:41:49,2015,71,25.14,4,app
119,2023-02-27 05:31:50,1913,206,88.94,5,web
2077,2023-03-05 12:06:27,1198,153,31.47,5,app
2250,2023-02-12 05:44:59,1016,212,11.8,4,web
589,2023-02-24 16:26:23,362,33,48.96,2,app
2487,2023-03-10 14:39:37,1814,110,80.01,1,app
4485,2023-03-25 17:02:22,1600,67,22.18,3,app
3301,2023-03-28 06:27:21,1928,184,15.76,5,app
359,2023-02-14 05:07:09,2044,144,89.62,1,web
2299,2023-02-16 08:54:49,875,185,56.84,3,web
2358,2023-01-18 19:12:54,966,21,37.39,3,app
233,2023-01-31 23:59:12,2097,93,12.01,4,web
2619,2023-03-19 01:58:09,1450,162,71.6,5,app
4987,2023-02-23 16:25:15,794,14,17.14,5,web
2928,2023-01-11 02:32:15,375,203,39.21,5,web
3558,2023-01-14 14:16:24,1573,18,32.23,3,web
1348,2023-03-26 12:42:08,1767,201,58.77,4,web
3476,2023-01-21 17:22:20,1437,105,85.92,5,app
937,2023-03-12 00:10:54,2199,23,43.71,3,web
4821,2023-03-21 00:56:21,1430,120,89.81,2,app
725,2023-01-14 18:17:08,1637,183,72.14,2,web
1810,2023-03-23 15:24:17,1420,73,56.05,4,web
1190,2023-02-02 01:43:32,1917,205,74.74,2,app
222,2023-02-19 08:48:03,7,180,5.91,3,web
4343,2023-03-14 17:13:21,2435,15,43.46,1,app
664,2023-02-15 02:54:43,613,119,37.91,4,web
3908,2023-01-29 03:51:01,43,152,5.99,1,app
2250,2023-02-12 05:44:59,1016,120,89.81,2,web
2063,2023-02-11 02:51:56,1805,212,11.8,2,web
4040,2023-03-16 16:00:42,2215,128,32.27,2,app
2083,2023-03-08 10:02:08,250,148,46.46,1,web
3534,2023-01-11 11:24:37,1802,140,35.53,1,web
562,2023-03-03 21:08:56,1647,14,17.14,2,web
2173,2023-02-10 08:42:28,2278,54,59.34,5,web
3557,2023-03-21 02:37:36,2301,189,60.6,1,app
4816,2023-03-30 19:58:31,1905,226,31.63,1,app
1803,2023-01-24 08:10:57,1054,134,88.46,5,app
4682,2023-02-02 21:40:56,1442,35,78.52,3,web
4925,2023-02-24 15:06:20,399,223,60.76,4,web
3722,2023-01-28 18:12:16,962,104,36.12,1,app
27,2023-01-08 00:58:30,1077,216,60.92,4,web
2477,2023-02-17 06:37:51,1701,78,62.62,4,web
2501,2023-03-21 06:41:01,1318,68,93.04,2,app
3088,2023-01-23 02:48:49,1568,161,34.62,1,app
4772,2023-01-19 20:11:54,1838,202,91.58,5,web
3115,2023-01-07 14:36:59,1173,141,63.16,5,web
1578,2023-02-23 10:35:47,301,21,37.39,3,web
373,2023-01-31 17:44:34,454,237,63.3,1,web
2548,2023-02-05 17:44:52,2022,40,96.75,5,web
2596,2023-02-24 01:38:16,321,152,5.99,2,app
592,2023-02-19 22:26:07,329,132,73.78,3,web
487,2023-03-05 04:15:47,1086,61,99.17,2,app
1954,2023-02-09 20:47:57,287,231,90.51,2,app
3967,2023-02-03 10:57:07,2287,62,45.51,1,app
469,2023-01-29 10:23:34,976,142,70.66,2,app
2874,2023-03-29 11:40:49,489,175,86.04,1,app
4515,2023-02-12 07:35:46,1513,149,18.52,4,web
3514,2023-03-17 11:43:39,328,104,36.12,1,web
4096,2023-01-25 05:50:36,1068,2,85.17,3,app
2933,2023-02-06 04:19:48,1267,72,27.61,5,web
1516,2023-02-24 00:12:16,688,106,96.51,1,web
1327,2023-02-19 02:04:53,2197,76,19.21,4,app
291,2023-03-26 02:46:41,250,205,74.74,4,app
3328,2023-01-20 21:02:56,518,200,16.13,2,app
4477,2023-02-04 10:03:08,1480,207,19.23,5,web
971,2023-02-20 21:40:04,2328,227,71.1,2,web
4076,2023-03-24 09:04:56,1555,55,98.09,1,app
1490,2023-02-19 02:17:18,2338,150,25.58,3,app
584,2023-01-12 07:26:52,327,48,85.2,3,app
465,2023-02-01 15:35:50,2345,150,25.58,3,app
64,2023-03-07 08:38:40,1707,190,97.53,2,web
3004,2023-01-30 07:36:10,2217,125,63.32,2,web
2499,2023-03-18 15:12:11,2135,80,71.87,2,web
2860,2023-02-27 01:31:39,1990,127,24.01,3,app
1392,2023-03-01 02:12:16,17,33,48.96,2,app
3899,2023-01-23 11:41:08,2170,141,63.16,5,app
788,2023-01-20 17:55:31,565,56,27.6,2,web
3398,2023-01-26 09:46:31,2184,232,80.49,5,web
4428,2023-03-25 15:29:37,636,158,44.8,5,web
1906,2023-03-05 07:01:40,945,43,29.49,5,web
1267,2023-01-17 10:33:21,2369,65,90.16,3,web
3377,2023-03-22 09:22:17,800,72,27.61,2,app
2223,2023-03-13 03:36:47,791,198,51.53,2,web
234,2023-01-30 07:00:08,2364,236,18.32,5,app
4655,2023-03-29 18:07:37,81,20,71.6,1,app
4319,2023-03-29 05:35:42,1221,131,46.98,5,app
4459,2023-01-16 10:49:41,1942,111,66.5,1,web
404,2023-02-14 19:20:28,1422,46,91.75,2,app
3513,2023-01-20 02:34:42,182,132,73.78,1,web
1332,2023-02-07 22:43:01,374,88,81.31,4,web
4369,2023-03-11 23:27:25,1538,50,27.38,3,web
3147,2023-02-24 07:56:52,103,78,62.62,3,app
3114,2023-01-16 21:15:23,1324,128,32.27,4,app
